SSC09583 4 -4  4 -4 
SSC09604 0 4  0 4 
SSC09627 4 -4  4 -4 
SSC09628 4 -4  8 -4 
SSC09632 4 4  4 4 
SSC09643 -4 4  -4 4 
SSC09656 -4 4  -4 4 
SSC09663 -4 12  -4 12 
SSC09682 0 4  0 4 
SSC09684 -4 4  -4 4 
SSC09686 4 -4  4 -4 
SSC09787 4 -4  4 -4 
SSC09790 4 4  4 4 
SSC09791 4 12  4 12 
SSC09797 -4 -4  -4 -4 
SSC09799 4 0  4 -4 
SSC09847 -4 8  -4 4 
SSC09849 4 4  4 4 
SSC09878 4 12  4 12 
SSC09879 -4 4  -4 4 
SSC09882 -4 -4  -4 -4 
SSC09884 12 8  12 12 
SSC09887 4 -4  4 -4 
SSC09909 -4 4  -4 4 
SSC09915 -4 8  -4 4 
SSC10004 4 4  4 4 
SSC10005 16 4  12 4 
SSC10006 4 4  4 4 
SSC10008 -4 4  -4 4 
SSC10009 4 12  4 12 
SSC10011 12 -4  12 -4 
SSC10021 4 4  4 4 
SSC10023 8 -4  8 -4 
SSC10027 -4 -4  -4 -4 
SSC10033 4 4  4 4 
SSC10092 4 4  4 4 
SSC10112 4 12  4 16 
SSC10117 12 12  12 8 
SSC10173 -4 4  -4 4 
SSC10176 4 12  4 12 
SSC10184 4 4  4 4 
SSC10187 -4 4  -4 4 
SSC10201 -4 4  -4 4 
SSC10215 4 4  4 4 
SSC10221 12 4  12 4 
SSC10238 4 12  4 12 
SSC10241 4 4  4 4 
SSC10274 -4 4  -4 4 
SSC10275 -4 4  -4 4 
SSC10278 -4 12  -4 12 
SSC10280 4 4  4 4 
SSC10301 -4 -4  -4 -4 
SSC10317 4 12  4 4 
SSC10366 4 4  4 4 
SSC10369 -4 4  -4 4 
SSC10372 4 -4  4 -4 
SSC10383 -4 4  -4 4 
SSC10394 16 12  16 20 
SSC10397 16 4  12 4 
SSC10404 4 -4  4 -4 
SSC10410 -4 16  12 16 
SSC10419 12 -4  12 -4 
SSC10423 12 -4  12 -4 
SSC10467 -4 -4  -4 -4 
SSC10472 4 12  4 12 
SSC10497 -4 12  -4 12 
SSC10499 4 8  4 4 
SSC10523 -4 -4  -4 -4 
SSC10526 12 -4  12 -4 
SSC10554 -4 0  -4 0 
SSC10561 -4 -4  -4 -4 
SSC10572 4 4  4 4 
SSC10585 -4 12  -4 12 
SSC10586 -4 8  -4 8 
SSC10590 -4 8  -4 8 
SSC10591 12 4  12 4 
SSC10592 4 -4  4 -4 
SSC10594 12 16  12 16 
SSC10604 -4 4  -4 4 
SSC10609 4 -4  4 -4 
SSC10625 4 4  4 4 
SSC10626 4 4  4 4 
SSC10627 4 4  4 4 
SSC10628 12 4  12 4 
SSC10630 4 0  4 0 
SSC10632 4 4  4 4 
SSC10712 -4 -4  -4 -4 
SSC10717 4 4  4 4 
SSC10723 4 4  4 4 
SSC10724 -4 12  -4 12 
SSC10734 -4 4  -4 4 
SSC10735 -4 0  -4 0 
SSC10737 4 4  4 4 
SSC10741 -4 4  -4 4 
SSC10745 -4 4  -4 4 
SSC10751 12 4  12 4 
SSC10753 4 -4  4 -4 
SSC10768 -4 4  -4 4 
SSC10782 4 -4  4 -4 
SSC10783 -4 -4  -4 -4 
SSC10804 12 4  12 4 
SSC10806 4 4  4 4 
SSC10815 12 4  12 4 
SSC10819 4 8  4 4 
SSC10843 4 0  4 0 
SSC10859 0 -4  0 -4 
SSC10867 -4 12  -4 12 
SSC10871 4 4  4 4 
SSC10919 4 -4  4 -4 
SSC10921 4 4  4 4 
SSC10961 4 12  4 12 
SSC10973 4 12  4 4 
SSC10976 -4 4  -4 4 
SSC10987 4 -4  4 -4 
SSC10990 12 4  12 4 
SSC11002 -4 4  -4 4 
SSC11004 4 4  4 4 
SSC11036 4 4  4 4 
SSC11165 -4 4  -4 4 
SSC11178 -4 -4  -4 -4 
SSC11187 12 12  12 12 
SSC11189 4 0  4 0 
SSC11190 -8 12  -8 12 
SSC11196 4 4  4 4 
SSC11206 4 8  4 8 
SSC11213 4 0  4 0 
SSC11255 4 -4  4 -4 
SSC11258 4 -4  4 -4 
SSC11275 4 -4  4 -4 
SSC11277 -4 16  -4 16 
SSC11290 12 4  12 4 
SSC11295 4 -4  4 -4 
SSC11303 4 4  4 4 
SSC11336 -4 12  -4 12 
SSC11342 4 12  4 12 
SSC11344 4 4  4 4 
SSC11365 4 4  4 4 
SSC11367 4 -4  4 -4 
SSC11375 -8 -4  -8 -4 
SSC11377 0 4  -4 4 
SSC11381 -8 -8  -8 -8 
SSC11385 4 -4  4 -4 
SSC11396 -4 -4  -4 -4 
SSC11398 -4 -4  -4 -4 
SSC11400 4 -4  4 -4 
SSC11407 -8 4  4 4 
SSC11453 4 -4  4 -4 
SSC11461 4 4  4 4 
SSC11504 -4 12  -4 12 
SSC11507 -4 -4  -4 -4 
SSC11513 -4 4  -4 4 
SSC11517 4 8  4 4 
SSC11534 12 20  16 12 
SSC11542 -4 4  -4 4 
SSC11577 0 12  0 12 
SSC11587 -4 -4  -4 -4 
SSC11603 12 4  12 4 
SSC11604 4 -4  4 -4 
SSC11609 -4 -4  -4 -4 
SSC11613 4 -4  4 -4 
SSC11621 4 -4  4 -4 
SSC11625 0 4  4 4 
SSC11634 4 -4  4 -4 
SSC11644 4 -4  4 -4 
SSC11647 4 -4  4 -4 
SSC11649 -4 12  -4 16 
SSC11655 -4 12  -4 12 
SSC11667 12 0  12 0 
SSC11733 -4 4  -4 4 
SSC11738 4 -4  4 -4 
SSC11754 4 4  4 4 
SSC11755 12 16  12 12 
SSC11813 4 -4  4 -4 
SSC11818 4 -4  4 -4 
SSC11822 4 4  4 4 
SSC11836 4 4  4 4 
SSC11847 4 4  4 4 
SSC11854 16 4  16 4 
SSC11856 4 -4  4 0 
SSC11862 -8 4  -8 4 
SSC11866 -4 4  -4 4 
SSC11875 -4 4  -4 4 
